c2024-04-23 23:45:32,859 | INFO | Process 1/371 with name Yidadaa/ChatGPT-Next-Web and method num 805
2024-04-23 23:45:33,183 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-23 23:45:33,476 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-23 23:45:33,523 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Initiation.   STEP 3: stack graph init and index.
2024-04-23 23:45:42,875 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Initiation.   STEP 3: index 20/20 files. 
2024-04-23 23:45:42,876 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Initiation.   STEP 4: find ref-def pairs from stack.
2024-04-23 23:45:51,458 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Initiation.   STEP 6: Generate sample from 203 later commit methods.
2024-04-23 23:55:36,584 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Intermediate.   STEP 1: copy repo to tmp dir.
2024-04-23 23:55:36,934 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Intermediate.   STEP 2: extract calls from tmp dir.
2024-04-23 23:55:37,040 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Intermediate.   STEP 3: stack graph init and index.
2024-04-23 23:55:47,767 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Intermediate.   STEP 3: index 32/32 files. 
2024-04-23 23:55:47,767 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Intermediate.   STEP 4: find ref-def pairs from stack.
2024-04-23 23:55:57,294 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Intermediate.   STEP 6: Generate sample from 203 later commit methods.
2024-04-24 00:02:42,139 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Closure.   STEP 1: copy repo to tmp dir.
2024-04-24 00:02:42,632 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Closure.   STEP 2: extract calls from tmp dir.
2024-04-24 00:02:42,759 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Closure.   STEP 3: stack graph init and index.
2024-04-24 00:02:55,250 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Closure.   STEP 3: index 48/48 files. 
2024-04-24 00:02:55,250 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Closure.   STEP 4: find ref-def pairs from stack.
2024-04-24 00:03:09,376 | INFO |     Repo Yidadaa/ChatGPT-Next-Web, Closure.   STEP 6: Generate sample from 196 later commit methods.
2024-04-24 00:11:33,802 | INFO | Generate 9 from repo Yidadaa/ChatGPT-Next-Web, current generate 1/9 samples.
2024-04-24 00:11:33,805 | INFO | Process 2/371 with name StanGirard/quivr and method num 1099
2024-04-24 00:11:34,826 | INFO |     Repo StanGirard/quivr, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 00:11:35,863 | INFO |     Repo StanGirard/quivr, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 00:11:35,944 | INFO |     Repo StanGirard/quivr, Initiation.   STEP 3: stack graph init and index.
2024-04-24 00:11:46,278 | INFO |     Repo StanGirard/quivr, Initiation.   STEP 3: index 81/81 files. 
2024-04-24 00:11:46,278 | INFO |     Repo StanGirard/quivr, Initiation.   STEP 4: find ref-def pairs from stack.
2024-04-24 00:12:03,051 | INFO |     Repo StanGirard/quivr, Initiation.   STEP 6: Generate sample from 273 later commit methods.
2024-04-24 00:25:14,417 | INFO |     Repo StanGirard/quivr, Intermediate.   STEP 1: copy repo to tmp dir.
2024-04-24 00:25:16,570 | INFO |     Repo StanGirard/quivr, Intermediate.   STEP 2: extract calls from tmp dir.
2024-04-24 00:25:16,856 | INFO |     Repo StanGirard/quivr, Intermediate.   STEP 3: stack graph init and index.
2024-04-24 00:25:30,701 | INFO |     Repo StanGirard/quivr, Intermediate.   STEP 3: index 164/164 files. 
2024-04-24 00:25:30,701 | INFO |     Repo StanGirard/quivr, Intermediate.   STEP 4: find ref-def pairs from stack.
2024-04-24 00:25:53,021 | INFO |     Repo StanGirard/quivr, Intermediate.   STEP 6: Generate sample from 278 later commit methods.
2024-04-24 00:40:48,660 | INFO |     Repo StanGirard/quivr, Closure.   STEP 1: copy repo to tmp dir.
2024-04-24 00:40:51,114 | INFO |     Repo StanGirard/quivr, Closure.   STEP 2: extract calls from tmp dir.
2024-04-24 00:40:51,347 | INFO |     Repo StanGirard/quivr, Closure.   STEP 3: stack graph init and index.
2024-04-24 00:41:07,910 | INFO |     Repo StanGirard/quivr, Closure.   STEP 3: index 258/258 files. 
2024-04-24 00:41:07,911 | INFO |     Repo StanGirard/quivr, Closure.   STEP 4: find ref-def pairs from stack.
2024-04-24 00:41:39,745 | INFO |     Repo StanGirard/quivr, Closure.   STEP 6: Generate sample from 278 later commit methods.
2024-04-24 00:58:02,380 | INFO | Generate 0 from repo StanGirard/quivr, current generate 1/9 samples.
2024-04-24 00:58:02,385 | INFO | Process 3/371 with name getcursor/cursor and method num 1750
2024-04-24 00:58:02,658 | INFO |     Repo getcursor/cursor, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 00:58:03,018 | INFO |     Repo getcursor/cursor, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 00:58:03,514 | INFO |     Repo getcursor/cursor, Initiation.   STEP 3: stack graph init and index.
2024-04-24 00:58:38,832 | INFO |     Repo getcursor/cursor, Initiation.   STEP 3: index 84/84 files. 
2024-04-24 00:58:38,833 | INFO |     Repo getcursor/cursor, Initiation.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:00:12,631 | INFO |     Repo getcursor/cursor, Initiation.   STEP 6: Generate sample from 1 later commit methods.
2024-04-24 01:00:22,174 | INFO |     Repo getcursor/cursor, Intermediate.   STEP 1: copy repo to tmp dir.
2024-04-24 01:00:22,536 | INFO |     Repo getcursor/cursor, Intermediate.   STEP 2: extract calls from tmp dir.
2024-04-24 01:00:22,999 | INFO |     Repo getcursor/cursor, Intermediate.   STEP 3: stack graph init and index.
2024-04-24 01:00:58,688 | INFO |     Repo getcursor/cursor, Intermediate.   STEP 3: index 83/83 files. 
2024-04-24 01:00:58,688 | INFO |     Repo getcursor/cursor, Intermediate.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:02:33,154 | INFO |     Repo getcursor/cursor, Intermediate.   STEP 6: Generate sample from 1 later commit methods.
2024-04-24 01:02:42,663 | INFO |     Repo getcursor/cursor, Closure.   STEP 1: copy repo to tmp dir.
2024-04-24 01:02:43,037 | INFO |     Repo getcursor/cursor, Closure.   STEP 2: extract calls from tmp dir.
2024-04-24 01:02:43,521 | INFO |     Repo getcursor/cursor, Closure.   STEP 3: stack graph init and index.
2024-04-24 01:03:18,931 | INFO |     Repo getcursor/cursor, Closure.   STEP 3: index 83/83 files. 
2024-04-24 01:03:18,932 | INFO |     Repo getcursor/cursor, Closure.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:04:53,811 | INFO |     Repo getcursor/cursor, Closure.   STEP 6: Generate sample from 235 later commit methods.
2024-04-24 01:13:37,401 | INFO | Generate 15 from repo getcursor/cursor, current generate 2/24 samples.
2024-04-24 01:13:37,402 | INFO | Process 4/371 with name getumbrel/llama-gpt and method num 97
2024-04-24 01:13:37,569 | INFO |     Repo getumbrel/llama-gpt, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 01:13:37,770 | INFO |     Repo getumbrel/llama-gpt, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 01:13:37,782 | INFO | Generate 0 from repo getumbrel/llama-gpt, current generate 2/24 samples.
2024-04-24 01:13:37,786 | INFO | Process 5/371 with name stability-ai/stablestudio and method num 367
2024-04-24 01:13:38,620 | INFO |     Repo stability-ai/stablestudio, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 01:13:39,725 | INFO |     Repo stability-ai/stablestudio, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 01:13:40,037 | INFO |     Repo stability-ai/stablestudio, Initiation.   STEP 3: stack graph init and index.
2024-04-24 01:14:06,516 | INFO |     Repo stability-ai/stablestudio, Initiation.   STEP 3: index 40/40 files. 
2024-04-24 01:14:06,516 | INFO |     Repo stability-ai/stablestudio, Initiation.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:14:17,854 | INFO |     Repo stability-ai/stablestudio, Initiation.   STEP 6: Generate sample from 1 later commit methods.
2024-04-24 01:14:22,935 | INFO |     Repo stability-ai/stablestudio, Intermediate.   STEP 1: copy repo to tmp dir.
2024-04-24 01:14:24,115 | INFO |     Repo stability-ai/stablestudio, Intermediate.   STEP 2: extract calls from tmp dir.
2024-04-24 01:14:24,397 | INFO |     Repo stability-ai/stablestudio, Intermediate.   STEP 3: stack graph init and index.
2024-04-24 01:14:51,049 | INFO |     Repo stability-ai/stablestudio, Intermediate.   STEP 3: index 40/40 files. 
2024-04-24 01:14:51,050 | INFO |     Repo stability-ai/stablestudio, Intermediate.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:15:02,360 | INFO |     Repo stability-ai/stablestudio, Intermediate.   STEP 6: Generate sample from 6 later commit methods.
2024-04-24 01:15:10,607 | INFO |     Repo stability-ai/stablestudio, Closure.   STEP 1: copy repo to tmp dir.
2024-04-24 01:15:11,877 | INFO |     Repo stability-ai/stablestudio, Closure.   STEP 2: extract calls from tmp dir.
2024-04-24 01:15:12,210 | INFO |     Repo stability-ai/stablestudio, Closure.   STEP 3: stack graph init and index.
2024-04-24 01:15:38,917 | INFO |     Repo stability-ai/stablestudio, Closure.   STEP 3: index 40/40 files. 
2024-04-24 01:15:38,918 | INFO |     Repo stability-ai/stablestudio, Closure.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:15:50,148 | INFO |     Repo stability-ai/stablestudio, Closure.   STEP 6: Generate sample from 26 later commit methods.
2024-04-24 01:16:55,794 | INFO | Generate 0 from repo stability-ai/stablestudio, current generate 2/24 samples.
2024-04-24 01:16:55,798 | INFO | Process 6/371 with name a16z-infra/ai-town and method num 1297
2024-04-24 01:16:56,609 | INFO |     Repo a16z-infra/ai-town, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 01:16:57,725 | INFO |     Repo a16z-infra/ai-town, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 01:16:57,828 | INFO |     Repo a16z-infra/ai-town, Initiation.   STEP 3: stack graph init and index.
2024-04-24 01:17:09,984 | INFO |     Repo a16z-infra/ai-town, Initiation.   STEP 3: index 50/50 files. 
2024-04-24 01:17:09,984 | INFO |     Repo a16z-infra/ai-town, Initiation.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:17:23,576 | INFO |     Repo a16z-infra/ai-town, Initiation.   STEP 6: Generate sample from 326 later commit methods.
2024-04-24 01:35:20,808 | INFO |     Repo a16z-infra/ai-town, Intermediate.   STEP 1: copy repo to tmp dir.
2024-04-24 01:35:21,145 | INFO |     Repo a16z-infra/ai-town, Intermediate.   STEP 2: extract calls from tmp dir.
2024-04-24 01:35:21,276 | INFO |     Repo a16z-infra/ai-town, Intermediate.   STEP 3: stack graph init and index.
2024-04-24 01:35:35,738 | INFO |     Repo a16z-infra/ai-town, Intermediate.   STEP 3: index 40/40 files. 
2024-04-24 01:35:35,739 | INFO |     Repo a16z-infra/ai-town, Intermediate.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:35:51,035 | INFO |     Repo a16z-infra/ai-town, Intermediate.   STEP 6: Generate sample from 318 later commit methods.
2024-04-24 01:47:54,825 | INFO |     Repo a16z-infra/ai-town, Closure.   STEP 1: copy repo to tmp dir.
2024-04-24 01:47:55,201 | INFO |     Repo a16z-infra/ai-town, Closure.   STEP 2: extract calls from tmp dir.
2024-04-24 01:47:55,369 | INFO |     Repo a16z-infra/ai-town, Closure.   STEP 3: stack graph init and index.
2024-04-24 01:48:12,068 | INFO |     Repo a16z-infra/ai-town, Closure.   STEP 3: index 66/66 files. 
2024-04-24 01:48:12,068 | INFO |     Repo a16z-infra/ai-town, Closure.   STEP 4: find ref-def pairs from stack.
2024-04-24 01:48:31,799 | INFO |     Repo a16z-infra/ai-town, Closure.   STEP 6: Generate sample from 326 later commit methods.
2024-04-24 02:01:50,015 | INFO | Generate 9 from repo a16z-infra/ai-town, current generate 3/33 samples.
2024-04-24 02:01:50,017 | INFO | Process 7/371 with name a16z-infra/companion-app and method num 42
2024-04-24 02:01:50,017 | INFO |     Repo a16z-infra/companion-app is skipped, because no more than 50 methods or cannot find suitable split snapshot id.
2024-04-24 02:01:50,018 | INFO | Process 8/371 with name Blazity/next-enterprise and method num 60
2024-04-24 02:01:50,205 | INFO |     Repo Blazity/next-enterprise, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 02:01:50,438 | INFO |     Repo Blazity/next-enterprise, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 02:01:50,446 | INFO | Generate 0 from repo Blazity/next-enterprise, current generate 3/33 samples.
2024-04-24 02:01:50,447 | INFO | Process 9/371 with name smol-ai/GodMode and method num 98
2024-04-24 02:01:50,698 | INFO |     Repo smol-ai/GodMode, Initiation.   STEP 1: copy repo to tmp dir.
2024-04-24 02:01:51,038 | INFO |     Repo smol-ai/GodMode, Initiation.   STEP 2: extract calls from tmp dir.
2024-04-24 02:01:51,070 | INFO |     Repo smol-ai/GodMode, Initiation.   STEP 3: stack graph init and index.
2024-04-24 02:01:59,878 | INFO |     Repo smol-ai/GodMode, Initiation.   STEP 3: index 20/20 files. 
2024-04-24 02:01:59,879 | INFO |     Repo smol-ai/GodMode, Initiation.   STEP 4: find ref-def pairs from stack.
2024-04-24 02:02:04,080 | INFO |     Repo smol-ai/GodMode, Initiation.   STEP 6: Generate sample from 2 later commit methods.
2024-04-24 02:02:12,124 | INFO |     Repo smol-ai/GodMode, Intermediate.   STEP 1: copy repo to tmp dir.
2024-04-24 02:02:12,473 | INFO |     Repo smol-ai/GodMode, Intermediate.   STEP 2: extract calls from tmp dir.
2024-04-24 02:02:12,501 | INFO |     Repo smol-ai/GodMode, Intermediate.   STEP 3: stack graph init and index.
2024-04-24 02:02:21,294 | INFO |     Repo smol-ai/GodMode, Intermediate.   STEP 3: index 20/20 files. 
2024-04-24 02:02:21,295 | INFO |     Repo smol-ai/GodMode, Intermediate.   STEP 4: find ref-def pairs from stack.
