2024-04-05 16:33:46,379 | WARNING | GitHub exception with repo lzwme/chatgpt-sites, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/lzwme/chatgpt-sites.git', '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 16:33:46,379 | WARNING | GitHub exception with repo lzwme/chatgpt-sites, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/lzwme/chatgpt-sites.git', '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 16:33:46,379 | WARNING | GitHub exception with repo lzwme/chatgpt-sites, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/lzwme/chatgpt-sites.git', '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/lzwme@chatgpt-sites'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 16:47:19,069 | WARNING | GitHub exception with repo yesmore/inke, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/yesmore/inke.git', '/Volumes/T7/data/repos/TypeScript/yesmore@inke'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/yesmore@inke'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 16:47:19,069 | WARNING | GitHub exception with repo yesmore/inke, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/yesmore/inke.git', '/Volumes/T7/data/repos/TypeScript/yesmore@inke'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/yesmore@inke'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 16:47:19,069 | WARNING | GitHub exception with repo yesmore/inke, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/yesmore/inke.git', '/Volumes/T7/data/repos/TypeScript/yesmore@inke'], 128, b"Cloning into '/Volumes/T7/data/repos/TypeScript/yesmore@inke'...\nfatal: could not read Username for 'https://github.com': Device not configured\n")
2024-04-05 17:47:41,662 | WARNING | GitHub exception with repo barry-far/V2ray-Configs, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/barry-far/V2ray-Configs.git', '/Volumes/T7/data/repos/Python/barry-far@V2ray-Configs'], 128, b"Cloning into '/Volumes/T7/data/repos/Python/barry-far@V2ray-Configs'...\nPOST git-upload-pack (227 bytes)\nerror: RPC failed; curl 92 HTTP/2 stream 3 was not closed cleanly: CANCEL (err 8)\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 17:47:41,662 | WARNING | GitHub exception with repo barry-far/V2ray-Configs, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/barry-far/V2ray-Configs.git', '/Volumes/T7/data/repos/Python/barry-far@V2ray-Configs'], 128, b"Cloning into '/Volumes/T7/data/repos/Python/barry-far@V2ray-Configs'...\nPOST git-upload-pack (227 bytes)\nerror: RPC failed; curl 92 HTTP/2 stream 3 was not closed cleanly: CANCEL (err 8)\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 17:47:41,662 | WARNING | GitHub exception with repo barry-far/V2ray-Configs, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/barry-far/V2ray-Configs.git', '/Volumes/T7/data/repos/Python/barry-far@V2ray-Configs'], 128, b"Cloning into '/Volumes/T7/data/repos/Python/barry-far@V2ray-Configs'...\nPOST git-upload-pack (227 bytes)\nerror: RPC failed; curl 92 HTTP/2 stream 3 was not closed cleanly: CANCEL (err 8)\nfatal: the remote end hung up unexpectedly\nfatal: early EOF\nfatal: index-pack failed\n")
2024-04-05 17:53:02,873 | WARNING | GitHub exception with repo zwq2018/data-copilot, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/zwq2018/data-copilot.git', '/Volumes/T7/data/repos/Python/zwq2018@data-copilot'], 128, b"Cloning into '/Volumes/T7/data/repos/Python/zwq2018@data-copilot'...\nPOST git-upload-pack (177 bytes)\nDownloading assets/video1.GIF (30 MB)\nError downloading object: assets/video1.GIF (bbd30a8): Smudge error: Error downloading assets/video1.GIF (bbd30a8179ecb7f7173ae6857ebeb536a7f66a176f67596f1728be418cf9ea73): batch response: This repository is over its data quota. Account responsible for LFS bandwidth should purchase more data packs to restore access.\n\nErrors logged to '/Volumes/T7/data/repos/Python/zwq2018@data-copilot/.git/lfs/logs/20240405T175302.84206.log'.\nUse `git lfs logs last` to view the log.\nerror: external filter 'git-lfs filter-process' failed\nfatal: assets/video1.GIF: smudge filter lfs failed\nwarning: Clone succeeded, but checkout failed.\nYou can inspect what was checked out with 'git status'\nand retry with 'git restore --source=HEAD :/'\n\n")
2024-04-05 17:53:02,873 | WARNING | GitHub exception with repo zwq2018/data-copilot, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/zwq2018/data-copilot.git', '/Volumes/T7/data/repos/Python/zwq2018@data-copilot'], 128, b"Cloning into '/Volumes/T7/data/repos/Python/zwq2018@data-copilot'...\nPOST git-upload-pack (177 bytes)\nDownloading assets/video1.GIF (30 MB)\nError downloading object: assets/video1.GIF (bbd30a8): Smudge error: Error downloading assets/video1.GIF (bbd30a8179ecb7f7173ae6857ebeb536a7f66a176f67596f1728be418cf9ea73): batch response: This repository is over its data quota. Account responsible for LFS bandwidth should purchase more data packs to restore access.\n\nErrors logged to '/Volumes/T7/data/repos/Python/zwq2018@data-copilot/.git/lfs/logs/20240405T175302.84206.log'.\nUse `git lfs logs last` to view the log.\nerror: external filter 'git-lfs filter-process' failed\nfatal: assets/video1.GIF: smudge filter lfs failed\nwarning: Clone succeeded, but checkout failed.\nYou can inspect what was checked out with 'git status'\nand retry with 'git restore --source=HEAD :/'\n\n")
2024-04-05 17:53:02,873 | WARNING | GitHub exception with repo zwq2018/data-copilot, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/zwq2018/data-copilot.git', '/Volumes/T7/data/repos/Python/zwq2018@data-copilot'], 128, b"Cloning into '/Volumes/T7/data/repos/Python/zwq2018@data-copilot'...\nPOST git-upload-pack (177 bytes)\nDownloading assets/video1.GIF (30 MB)\nError downloading object: assets/video1.GIF (bbd30a8): Smudge error: Error downloading assets/video1.GIF (bbd30a8179ecb7f7173ae6857ebeb536a7f66a176f67596f1728be418cf9ea73): batch response: This repository is over its data quota. Account responsible for LFS bandwidth should purchase more data packs to restore access.\n\nErrors logged to '/Volumes/T7/data/repos/Python/zwq2018@data-copilot/.git/lfs/logs/20240405T175302.84206.log'.\nUse `git lfs logs last` to view the log.\nerror: external filter 'git-lfs filter-process' failed\nfatal: assets/video1.GIF: smudge filter lfs failed\nwarning: Clone succeeded, but checkout failed.\nYou can inspect what was checked out with 'git status'\nand retry with 'git restore --source=HEAD :/'\n\n")
2024-04-05 18:02:09,715 | WARNING | GitHub exception with repo brunodev85/winlator, GitCommandError(['git', 'clone', '-v', '--', 'https://github.com/brunodev85/winlator.git', '/Volumes/T7/data/repos/Java/brunodev85@winlator'], 128, b"Cloning into '/Volumes/T7/data/repos/Java/brunodev85@winlator'...\nPOST git-upload-pack (727 bytes)\nfatal: unable to open /Volumes/T7/data/repos/Java/brunodev85@winlator/.git/objects/pack/tmp_pack_5Ho05h: No such file or directory\nfatal: index-pack failed\n")
